id,title,image-url,categories,tags
bxo5q,Nå blir det dyrere å parkere i sykkelfeltet - hvis du blir tatt,http://ap.mnocdn.no/images/cbb77d00-42b4-4fe1-aab1-651fa7db55c7?fit=crop&q=80&w=480,[osloby],[sykkelpatruljen]
bxrKl,The Guardian: - Utøya-bygget er et av de ti viktigste i verden,https://ap.mnocdn.no/images/67abc138-6c13-40e3-b1bb-d76af4206094?fit=crop&q=80&w=480,[kultur],"[22. juli, arkitektur, auf, terror]"
bxvB3,Ti pågrepet etter voldsepisoder i Oslo,,[osloby],[]
bxvEB,Fotolys i juletid,https://ap.mnocdn.no/images/c74c792d-2713-4e74-9e70-b3640a2a7385?fit=crop&q=80&w=480,[norge],"[foto, tips, jul]"
bxwR3,London-trafikken rett til himmels da Ryanair kom til Gardermoen,http://ap.mnocdn.no/images/faf4db9c-edb8-416e-96c7-c1e51752e165?fit=crop&q=80&w=480,[okonomi],"[scandinavian airlines (sas), oslo lufthavn, ryanair, norwegian, avinor]"
bxwpv,Norskpakistanere bør vise solidaritet med dødsdømt kristen kvinne | Maria Khan og Usman Ali Khan,http://ap.mnocdn.no/images/3824c138-8f6d-49b0-a635-5ad29539ff78?fit=crop&q=80&w=480,"[meninger, debatt]","[drap, pakistan, islam, religion, dødsstraff]"
bxxzv,Språket vårt: Professorfritak,https://ap.mnocdn.no/images/253a93dd-0db5-4c59-b0a4-e0f335a76bf2?fit=crop&q=80&w=480,[kultur],[språk]
d9MJA,Kinesiske menn bruker milliarder på virtuelle gaver til unge nettstjerner,http://ap.mnocdn.no/images/8aaf0f65-ba8a-4ab9-9ab8-cd14cf3b7faa?fit=crop&q=80&w=480,[amagasinet],"[internett, kina]"
de0EX,Her er Telenors Asia-problemer – land for land,https://ap.mnocdn.no/images/05244c2b-60eb-4569-854e-0ab9670b09f4?fit=crop&q=80&w=480,[okonomi],"[telenor, sigve brekke]"
de0bJ,Propagandaspillet om Syria,https://ap.mnocdn.no/images/6d8bbb93-9280-4d8f-b305-7630f6ccacae?fit=crop&q=80&w=480,"[meninger, kommentar]","[syria, kina, amnesty international, jan egeland, libya, overgrep, russland, fn, ban ki-moon, midtøsten, canada, wikileaks, human rights watch, konflikt, syriakrigen]"
de1dz,Derfor ligner ikke Trumps nye regjering på noe USA har sett tidligere,https://ap.mnocdn.no/images/8fa71a93-e823-4e63-be5f-75f2c4df7bf6?fit=crop&q=80&w=480,[verden],"[utenrikspolitikk, republikanerne, usa, donald trump, amerikansk politikk, usa-valg 2016, politikk, usa]"
de2MA,"– Jeg har lyst til å være sammen med dere, men klarer ikke være til stede",https://ap.mnocdn.no/images/7129129f-7990-4d04-b429-d6495b8cbeba?fit=crop&q=80&w=480,[norge],"[angst, jul]"
